#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-08-10T15:09:51 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5b6daaa7b10e	
#INFO	-out.max=1000	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=1000
#-nav=cat:J/AJ/154/114&tab:{J/AJ/154/114/table3}&key:source=J/AJ/154/114/table3&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/154/114/table3
#-order=I
#-out=KODIAQ
#-out=Nd
#-out=zem
#-out=Exp
#-out=Olam0
#-out=Olam1
#-out=Rlam0
#-out=Rlam1
#-out=DR1
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_51540114
#Name: J/AJ/154/114
#Title: KODIAQ DR2 (O'Meara+, 2017)
#Table	J_AJ_154_114_table3:
#Name: J/AJ/154/114/table3
#Title: from the second Data Release (DR2) of the Keck Observatory Database of Ionized Absorption toward Quasars (KODIAQ)
#Column	KODIAQ	(A14)	Quasar designation (JHHMMSS+DDMMSS format) in Keck Observatory Database of Ionized Absorption toward Quasars (KODIAQ)	[ucd=meta.id;meta.main]
#Column	Nd	(I3)	Number of new observations since DR1 (table2) [NULL integer written as an empty string]	[ucd=meta.number]
#Column	zem	(F6.3)	[0/5.3] Emission line derived redshift	[ucd=src.redshift]
#Column	Exp	(I6)	[600/114000] Total exposure time	[ucd=time.duration;obs.exposure]
#Column	Olam0	(I4)	[2995/6215] Lower observed wavelength of coverage; in {AA}	[ucd=em.wl]
#Column	Olam1	(I4)	[4602/9725] Upper observed wavelength of coverage; in {AA}	[ucd=em.wl]
#Column	Rlam0	(I4)	[743/6031] Lower rest wavelength; in {AA} (1)	[ucd=em.wl]
#Column	Rlam1	(I4)	[1195/8388] Upper rest wavelength; in {AA} (1)	[ucd=em.wl]
#Column	DR1	(I3)	Indicates a quasar in the DR1 (O'Meara et al. 2015, Cat. J/AJ/150/111) [NULL integer written as an empty string]	[ucd=meta.number]
#Column	_RA	(F7.3)	Positions from KODIAQ names (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F8.4)	Positions from KODIAQ names (declination part)	[ucd=pos.eq.dec;meta.main]
KODIAQ	Nd	zem	Exp	Olam0	Olam1	Rlam0	Rlam1	DR1	_RA	_DE
J204051-010538	  1	 2.783	 14400	3341	4854	 883	1283	  0	310.212	-01.0939
J210025-064146	  0	 3.137	 30660	3722	8981	 899	2170	  3	315.104	-06.6961
J211452+060742	  1	 0.457	  1800	3805	5976	2611	4101	  0	318.717	+06.1283
J212329-005052	  0	 2.262	 21600	3027	5896	 927	1807	  1	320.871	-00.8478
J212904-160249	  0	 2.900	 14400	3992	8545	1023	2191	  1	322.267	-16.0469
J212912-153841	  1	 3.268	 23100	3571	6422	 836	1504	  1	322.300	-15.6447
J213135-120704	  1	 0.501	  2500	3841	6076	2558	4047	  0	322.896	-12.1178
J215502+135826	  3	 4.260	 10800	4223	6662	 802	1266	  0	328.758	+13.9739
J220639-181846	  0	 2.728	  5400	3304	6183	 886	1658	  1	331.662	-18.3128
J220852-194400	  3	 2.573	 38000	3022	6165	 845	1725	  1	332.217	-19.7333
J221516-294423	  1	 2.706	  6600	3978	5998	1073	1618	  0	333.817	-29.7397
J221527-161132	  2	 3.990	 12000	4469	6921	 895	1386	  0	333.862	-16.1922
J221852-033536	  1	 0.901	  3600	3847	5357	2023	2817	  0	334.717	-03.5933
J222256-094636	  0	 2.926	 10800	3214	6096	 818	1552	  1	335.733	-09.7767
J222547-045701	  1	 1.403	  3600	3722	6078	1548	2529	  0	336.446	-04.9503
J223235+024755	  2	 2.147	 18000	3882	6879	1233	2185	  0	338.146	+02.7986
J223408+000001	  1	 3.027	 15300	3976	6409	 987	1591	  0	338.533	+00.0003
J223619+132620	  2	 3.295	 15000	4898	7304	1140	1700	  0	339.079	+13.4389
J223627+135714	  2	 3.216	 68400	4154	6630	 985	1572	  0	339.112	+13.9539
J223953-055219	  3	 4.558	 33000	4934	8194	 887	1474	  0	339.971	-05.8719
J224030+032130	  2	 1.695	 10550	3940	6407	1461	2377	  0	340.125	+03.3583
J224145+122557	  0	 2.631	  6300	4095	8551	1127	2354	  1	340.437	+12.4325
J225409+244523	  0	 2.328	  1100	3366	6198	1011	1862	  1	343.537	+24.7564
J230301-093930	  0	 3.454	 29700	3837	8352	 861	1875	  1	345.754	-09.6583
J230444+031145	  2	 1.052	  4800	3340	6050	1627	2948	  0	346.183	+03.1958
J231324+003444	  0	 2.083	   600	3176	6038	1030	1958	  1	348.350	+00.5789
J231543+145606	  0	 3.390	  9308	3926	7819	 894	1781	  2	348.929	+14.9350
J233446-090812	  0	 3.316	 14400	3761	8338	 871	1931	  2	353.692	-09.1367
J233823+150445	  0	 2.418	   900	3367	6198	 985	1813	  1	354.596	+15.0792
J234023-005327	  1	 2.085	 11400	3048	6305	 988	2043	  1	355.096	-00.8908
J234352+141014	  0	 2.896	 16200	3124	6660	 801	1709	  3	355.967	+14.1706
J234451+343348	  1	 3.010	 12600	4306	8912	1073	2222	  1	356.212	+34.5633
J234531+090906	  1	 2.784	 11200	3804	6272	1005	1657	  0	356.379	+09.1517
J234628+124859	  5	 2.573	 50000	3022	8934	 845	2500	  3	356.617	+12.8164
J234632+124540	  2	 2.515	 15000	3846	6066	1094	1725	  0	356.633	+12.7611
J234856-104131	  0	 3.172	  5600	3102	5980	 743	1433	  1	357.233	-10.6919
J235010+081255	  1	 1.700	  1728	3979	6081	1473	2252	  0	357.542	+08.2153
J235050+045507	  0	 2.593	   850	3368	6198	 937	1725	  1	357.708	+04.9186
J235057-005209	  4	 3.025	 39989	3897	7494	 968	1861	  0	357.737	-00.8692
J235129-142756	  1	 2.933	 13500	3846	6296	 977	1600	  0	357.871	-14.4656
J235953-124148	  2	 0.868	  6000	4317	7455	2311	3990	  0	359.971	-12.6967

